,Unnamed: 0,quoteID,quotation,speaker,qids,date,numOccurrences,urls,phase,speaker_prob,url_countries,disaster
393,99944,2008-09-13-031971,the us stands shoulder to shoulder with india in the fight against terror.,david mulford,Multiple,2008-09-13 17:19:10,3,"['http://topnews.in/eighteen-killed-70-injured-five-blasts-delhi-267085'
 'http://earthtimes.org/articles/show/231567,eighteen-killed-70-injured-in-five-blasts-in-delhi-.html'
 'http://topnews.in/twenty-killed-80-injured-five-blasts-delhi-267139']",A,0.5996,['US' 'IN'],1
11560,41425,2015-07-27-011981,"But you've got to be up close with those bows, you've got to be up to 20 yards away.",Jim Mason,Multiple,2015-07-27 06:12:18,4,"['http://thechronicle.com.au/news/thrifty-archer-builds-bows/2719166/'
 'http://thesatellite.com.au/news/thrifty-archer-builds-bows/2719166/'
 'http://ipswichadvertiser.com.au/news/thrifty-archer-builds-bows/2719166/'
 'http://qt.com.au/news/thrifty-archer-builds-bows/2719166/']",E,0.9053,['AS'],1
1427,82257,2009-08-13-087011,"you cannot deal with these people by giving away territory. pak needs more aid to pre-empt global terror strikes from its soil: holbrooke tokyo - the us special envoy to pakistan and afghanistan richard holbrooke has said that the international community should ensure giving more financial aid to pakistan, as the terrorist groups based on its soil are on the verge of carrying out attacks around the world. addressing delegates at the donors' conference here in which countries have pledged five billion dollars for pakistan as aid, holbrooke said the world must keep supporting the country. april 8th, 2009 new delhi-united states special envoy to afghanistan and pakistan richard holbrooke arrived in new delhi late last night and is expected to brief the indian leadership about his recent visit to pakistan and president obama's new strategy on afghanistan and pakistan. holbrooke is being accompanied by the chairman of the u.s. february 18th, 2009 washington-india did not play into the hands of the masterminds of the mumbai terrorist attacks who had aimed to upset the improving india-pakistan relationship, according to a top us official. the nov 26 terrorist attack was conducted by `very shrewd and ruthless murderers' , us special representative for pakistan and afghanistan richard holbrooke told the pbs news channel in an interview. february 9th, 2009 islamabad-richard holbrooke, the us special representative for pakistan and afghanistan, met pakistan president asif ali zardari ¸ prime minister syed yousuf raza gilani and foreign minister makhdoom shah mehmood qureshi here tuesday, geo tv reported. president zardari and holbrooke discussed the situation in afghanistan and pakistan's federally administered tribal areas (fata), war on terror, indo-pakistan tensions and pakistan-us relations. world magenta27kimber i think my computer is getting tired. i know i am. i got a lot done today. a lot more to do. good night world!... keithkall today, 200,000,000 hours were spent fetching water by women and children in the developing world. nicolefoool watching the real world for like the first time ever. i swear, i know jonna! i know it. melanyxo why did bronne throw a fire extinguisher off the balcony anyways? real world! illwillhooda fortunate to have u girl i so glad u in my world, just asure as the sky is blue, i bless the day that i found u pulseonnews world population projected to reach 7 billion next year-cnn.com (via cnn) micake1103 gunite world =d",richard holbrooke,Q155649,2009-08-13 03:37:52,1,['http://blog.taragana.com/n/mehsuds-elimination-very-big-deal-for-pakistan-holbrooke-138144/'],A,0.478,['IN'],1
13722,84060,2017-09-13-163116,"Turkey is together with us in NATO,",Angela Merkel,Q567,2017-09-13 02:40:04,1,['http://www.worldbulletin.net/haberler/193919/merkel-no-blanket-ban-on-arms-exports-to-turkey'],E,0.8806,['TU'],1
17676,109667,2018-08-02-095382,"They had a guy's quads explode in the weight room on the leg press during what we call the Valentine's Day Massacre. You basically do everything until failure and the lactic acid had built up in his legs so much that his quads literally exploded, they ruptured, and he had to be taken out in an ambulance.",Xavier Nixon,Q8043287,2018-08-02 19:46:19,1,['https://www.theepochtimes.com/urban-meyer-accused-of-abusing-players-at-florida-report_2613049.html'],E,0.7512,['US'],1
16447,33635,2018-10-03-035237,"I could be in the middle of a safari, but I'm right here in Washington Parish: it's peaceful, it's tranquil, you see all kinds of wildlife.",None,,2018-10-03 12:28:49,1,['http://www.myneworleans.com/New-Orleans-Magazine/October-2018/Coming-Unstrung/'],E,0.9206,['US'],1
18061,119071,2018-03-26-028422,has been obsessed for many years with going to war against the Islamic Republic.,John Bolton,Multiple,2018-03-26 22:31:19,1,['http://www.presstv.com/Detail/2018/03/26/556565/Shamkhani-John-Bolton-MKO-terrorist'],E,0.6159,['IR'],1
12068,138488,2015-02-19-005527,anti-discrimination law to medical procedures such as blood transfusions or vaccinations.,Ruth Bader Ginsburg,Q11116,2015-02-19 21:46:11,1,['http://www.cnn.com/2015/02/19/politics/sotu-scotus-hobby-lobby-obamacare/index.html'],E,0.6633,['US'],1
6511,13671,2012-04-02-083087,"we know you were placed in an awful situation, and we appreciate your ability to respond professionally,",None,,2012-04-02 02:37:15,9,"['http://lfpress.com/news/world/2012/04/01/19579996.html'
 'http://in.reuters.com/article/2012/04/02/usa-jetblue-pilot-idINDEE83101N20120402?feedType=RSS&feedName=worldNews'
 'http://pheedo.msnbc.msn.com/click.phdo?i=99da68b03aabe8fb9360eed48a5a8652'
 'http://newser.com/story/143210/jetblue-captain-out-of-hospital-in-court.html'
 'http://news.yahoo.com/jetblue-pilot-held-jail-following-first-court-appearance-170654549--abc-news-topstories.html'
 'http://nydailynews.com/news/national/jetblue-pilot-clayton-osbon-hospital-courtroom-article-1.1054457'
 'http://overheadbin.msnbc.msn.com/_news/2012/04/05/11036371-judge-orders-competency-test-for-jetblue-captain-who-had-midair-breakdown?lite'
 'http://newser.com/story/144721/birds-again-ground-ny-plane.html'
 'http://newser.com/story/148053/passengers-sue-jetblue-over-pilot-freak-out.html']",C,0.3493,['CA' 'US'],1
7936,136723,2013-07-23-061181,"The Netherlands is in the midst of a prolonged balance sheet recession. Output is likely to continue on a declining trend at least until house prices stabilize, but there is little prospect of this on a 12 to 18 month view,",Michael Taylor,Multiple,2013-07-23 09:36:00,1,['http://www.cnbc.com/id/100905782'],D,0.7256,['US'],1
19552,66735,2019-08-15-050746,"It's higher, and it's a beautiful location.",None,,2019-08-15 04:00:00,1,['http://middletownpress.com/news/article/Portland-fireworks-committee-looking-for-donations-14308153.php'],E,0.9201,['US'],1
1712,6633,2009-11-21-012000,"foreigners frighten me. they're from other countries, and i don't know how to deal with that.",eric young,Multiple,2009-11-21 05:56:01,29,"['http://prowrestling.wikia.com/index.php?title=Eric_Young&diff=52376&oldid=prev'
 'http://prowrestling.wikia.com/index.php?title=Eric_Young&diff=52539&oldid=prev'
 'http://prowrestling.wikia.com/index.php?title=Eric_Young&diff=53389&oldid=prev'
 'http://prowrestling.wikia.com/index.php?title=Eric_Young&diff=53463&oldid=prev'
 'http://prowrestling.wikia.com/index.php?title=Eric_Young&diff=53559&oldid=prev'
 'http://prowrestling.wikia.com/index.php?title=Eric_Young&diff=62883&oldid=prev'
 'http://prowrestling.wikia.com/index.php?title=Eric_Young&diff=62884&oldid=prev'
 'http://prowrestling.wikia.com/index.php?title=Eric_Young&diff=74040&oldid=prev'
 'http://prowrestling.wikia.com/index.php?title=Eric_Young&diff=74042&oldid=prev'
 'http://prowrestling.wikia.com/index.php?title=Eric_Young&diff=107999&oldid=prev'
 'http://prowrestling.wikia.com/index.php?title=Eric_Young&diff=119340&oldid=prev'
 'http://prowrestling.wikia.com/index.php?title=Eric_Young&diff=126376&oldid=prev'
 'http://prowrestling.wikia.com/index.php?title=Eric_Young&diff=128437&oldid=prev'
 'http://prowrestling.wikia.com/index.php?title=Eric_Young&diff=160171&oldid=prev'
 'http://prowrestling.wikia.com/index.php?title=Eric_Young&diff=172396&oldid=prev'
 'http://prowrestling.wikia.com/index.php?title=Eric_Young&diff=172399&oldid=prev'
 'http://prowrestling.wikia.com/wiki/Eric_Young?diff=1266789&oldid=1244614'
 'http://prowrestling.wikia.com/wiki/Eric_Young?diff=1289299&oldid=1286284'
 'http://prowrestling.wikia.com/wiki/Eric_Young?diff=1289664&oldid=1289299'
 'http://prowrestling.wikia.com/wiki/Eric_Young?diff=1300476&oldid=1289664'
 'http://prowrestling.wikia.com/wiki/Eric_Young?diff=1306780&oldid=1300476'
 'http://prowrestling.wikia.com/wiki/Eric_Young?diff=1308249&oldid=1306780'
 'http://prowrestling.wikia.com/wiki/Eric_Young?diff=1308264&oldid=1308249'
 'http://prowrestling.wikia.com/wiki/Eric_Young?diff=1308271&oldid=1308264'
 'http://prowrestling.wikia.com/wiki/Eric_Young?diff=1321015&oldid=1316540'
 'http://prowrestling.wikia.com/wiki/Eric_Young?diff=1379359&oldid=1321015'
 'http://prowrestling.wikia.com/wiki/Eric_Young?diff=1428637&oldid=1379359'
 'http://prowrestling.wikia.com/wiki/Eric_Young?diff=1433776&oldid=1428637'
 'http://prowrestling.wikia.com/wiki/Eric_Young?diff=1449827&oldid=1433776']",A,0.5654,['US'],1
20454,67574,2020-04-16-009435,"develop a fully integrated regional framework to gradually lift the states' stay-at-home orders while minimizing the risk of increased spread of the virus,",Andrew Cuomo,Q11673,2020-04-16 11:18:30,1,['http://law360.com/articles/1263608'],E,0.7499,['US'],1
16798,47485,2018-02-23-099104,"She was a great painter, full of life. The death news is unfortunate, and more unfortunate because she could not see her daughter making debut in Bollywood,",Anurag Basu,Q2857813,2018-02-23 00:00:00,7,"['http://www.canindia.com/sridevi-dead-nation-mourns-roundup/'
 'http://www.sify.com/news/nation-mourns-sridevis-death-news-national-sczuucjbhaabd.html'
 'http://www.greaterkashmir.com/news/india/sridevi-at-54-dies-of-cardiac-arrest-in-dubai/276962.html'
 'http://www.saharasamay.com/entertainment-news/676614094/sridevi-dead-nation-mourns.html'
 'http://www.navhindtimes.in/legendary-actress-sridevi-passes-away-at-54/'
 'https://www.newkerala.com/news/fullnews-333695.html'
 'http://www.ianslive.in/index.php?param=news/-580425']",E,0.9247,['IN'],1
2783,210932,2010-12-01-096690,"we are talking about a population of people -- not patients -- men, who don't have disease so your level of certainty... has to be heightened,",anne phillips,Multiple,2010-12-01 23:17:12,1,['http://foxbusiness.com/markets/2010/12/01/fda-panel-votes-avodart-proscar-prevent-prostate-cancer/'],C,0.5172,['US'],1
1378,55925,2009-06-20-019433,"including seven months building the database to list all the names on it and ensure it was correct. this list contains 58,227 names of american military who lost their lives in vietnam.",ruth ross,Q17274623,2009-06-20 10:07:50,1,['http://times-gazette.com/news/article/4612206'],A,0.3854,['US'],1
14535,51263,2017-05-28-053290,"The flood had a big impact on everyone here,",None,,2017-05-28 16:52:00,2,"['http://www.wvgazettemail.com/news/20170528/2-running-for-clendenin-mayor'
 'http://www.wvgazettemail.com/news-kanawha-county/20170613/fontalbert-wins-marmet-election-by-4-votes-clendenin-mayor-ousted-by-newcomer']",E,0.9222,['US'],1
12740,82672,2016-04-29-139584,will directly subsidize Iran's nuclear program.,Paul Ryan,Multiple,2016-04-29 17:14:08,49,"['http://politifact.com/wisconsin/statements/2016/apr/29/paul-ryan/us-purchase-heavy-water-iran-direct-subsidy-irans-/'
 'http://www.jsonline.com/news/politifact-testing-paul-ryans-attack-on-us-plans-to-buy-heavy-water-from-iran-b99715583z1-377596391.html'
 'http://www.jsonline.com/newswatch/377596391.html'
 'http://www.jsonline.com/newswatch/377600141.html'
 'http://www.jsonline.com/newswatch/377600521.html'
 'http://www.jsonline.com/newswatch/tosa-east-senior-marches-forward-following-tragic-car-accident-b99711798z1-377010711.html'
 'http://www.jsonline.com/newswatch/377600801.html'
 'http://www.jsonline.com/newswatch/377604871.html'
 'http://www.jsonline.com/newswatch/377612671.html'
 'http://www.jsonline.com/newswatch/377615261.html'
 'http://www.jsonline.com/newswatch/377613441.html'
 'http://www.jsonline.com/newswatch/377616791.html'
 'http://www.jsonline.com/newswatch/377617011.html'
 'http://www.jsonline.com/newswatch/377618361.html'
 'http://www.jsonline.com/newswatch/377012061.html'
 'http://www.jsonline.com/newswatch/377603631.html'
 'http://www.jsonline.com/newswatch/377627441.html'
 'http://www.jsonline.com/newswatch/377630141.html'
 'http://www.jsonline.com/newswatch/377631481.html'
 'http://www.jsonline.com/newswatch/377634281.html'
 'http://www.jsonline.com/newswatch/377638361.html'
 'http://www.jsonline.com/newswatch/377641121.html'
 'http://www.jsonline.com/newswatch/377636041.html'
 'http://www.jsonline.com/newswatch/377642961.html'
 'http://www.jsonline.com/newswatch/377645431.html'
 'http://www.jsonline.com/newswatch/377646631.html'
 'http://www.jsonline.com/newswatch/377651721.html'
 'http://www.jsonline.com/newswatch/377646981.html'
 'http://www.jsonline.com/newswatch/377654321.html'
 'http://www.jsonline.com/newswatch/377656331.html'
 'http://www.jsonline.com/newswatch/377656841.html'
 'http://www.jsonline.com/newswatch/377663471.html'
 'http://www.jsonline.com/newswatch/377661341.html'
 'http://www.jsonline.com/newswatch/377670321.html'
 'http://www.jsonline.com/newswatch/377679081.html'
 'http://www.jsonline.com/newswatch/377679361.html'
 'http://www.jsonline.com/newswatch/377680431.html'
 'http://www.jsonline.com/newswatch/377685581.html'
 'http://www.jsonline.com/newswatch/377681051.html'
 'http://www.jsonline.com/newswatch/377685341.html'
 'http://www.jsonline.com/newswatch/377686281.html'
 'http://www.jsonline.com/newswatch/377687241.html'
 'http://www.jsonline.com/newswatch/377687871.html'
 'http://www.jsonline.com/newswatch/377689041.html'
 'http://www.jsonline.com/newswatch/377690801.html'
 'http://www.jsonline.com/newswatch/377690961.html'
 'http://www.jsonline.com/newswatch/377690381.html']",E,0.8949,['US'],1
17658,74638,2018-07-20-001680,"A passerby saw a 15-year-old victim out in a field and became concerned due to his appearance, his condition, and called DHS,",None,,2018-07-20 12:53:39,8,"['http://wafb.com/story/38690574/teen-found-starving-living-inside-barn'
 'http://kait8.com/story/38690574/teen-found-starving-living-inside-barn'
 'http://14news.com/story/38690574/teen-found-starving-living-inside-barn'
 'http://wbtv.com/story/38690574/teen-found-starving-living-inside-barn'
 'http://fox19.com/story/38690574/teen-found-starving-living-inside-barn'
 'http://nbc12.com/story/38690574/teen-found-starving-living-inside-barn'
 'http://fox8live.com/story/38690574/teen-found-starving-living-inside-barn'
 'http://wsfa.com/story/38690574/teen-found-starving-living-inside-barn']",E,0.8545,['US'],1
14219,32484,2017-06-06-081278,Nothing bad can happen if you swing. I just had a feeling. I knew I hit it hard.,None,,2017-06-06 05:09:40,2,"['http://www.scout.com/college/oklahoma/story/1783057-ou-softball-outlasts-florida-in-epic-duel'
 'http://www.scout.com/college/oklahoma/story/1783057-ou-softball-outlasts-florida-in-epic-duel?s=143']",E,0.5987,['US'],1
13069,53732,2016-05-22-005786,"Big funerals can see cars parked from Kooringal Road to Lake Albert Road,",Eric Hawkins,Q2387675,2016-05-22 07:00:00,2,"['http://dailyadvertiser.com.au/story/3920647/copland-parking-bursting-at-seam/?cs=12'
 'http://www.dailyadvertiser.com.au/story/3920647/copland-parking-bursting-at-seam/?src=rss']",E,0.9155,['AS'],1
5638,212348,2012-07-29-033624,"romney recognises israel's right to defend itself, and that it is right for america to stand with it",mitt romney,Q4496,2012-07-29 14:56:21,9,"['http://uk.reuters.com/article/2012/07/29/uk-usa-campaign-romney-idUKBRE86S0E320120729?feedType=RSS&feedName=worldNews'
 'http://af.reuters.com/article/worldNews/idAFBRE86S0E320120729?feedType=RSS&feedName=worldNews'
 'http://in.reuters.com/article/2012/07/29/usa-campaign-romney-idINDEE86S06L20120729?feedType=RSS&feedName=worldNews'
 'http://moneycontrol.com/news/wire-news/aide-sees-romney-support-for-israel-strikeiran_737057.html'
 'http://timesofindia.indiatimes.com/world/middle-east/Mitt-Romney-will-support-Israel-strike-on-Iran-security-aide-says/articleshow/15258491.cms'
 'http://cnews.canoe.ca/CNEWS/USElection/2012/07/29/20040901.html?cid=rssnews'
 'http://lfpress.com/news/world/2012/07/29/20040916.html'
 'http://vancouver.24hrs.ca/News/world/2012/07/29/20040921.html'
 'http://scotsman.com/romney-says-i-would-back-israeli-strike-against-iran-1-2439622']",C,0.3936,['IN' 'US' 'CA' 'UK'],1
251,38756,2008-12-05-009060,demand started to dry up in november and we can't see the light at the end of the tunnel.,takeo fukui,Q3514308,2008-12-05 10:12:57,14,"['http://startribune.com/business/35591904.html'
 'http://kansascity.com/438/story/923277.html'
 'http://feeds.sfgate.com/click.phdo?i=2e06db105fff64270f19c02253a6d80a'
 'http://ibtimes.com/articles/20081205/honda-pulls-out-of-2009-f1-competition.htm'
 'http://dailyadvance.com/business/honda-pulls-out-of-2009-f1-competition-277317.html'
 'http://money.cnn.com/news/newsfeeds/articles/apwire/f51a1a844e3bef69d21cefc485ccca8b.htm'
 'http://money.cnn.com/2008/12/05/news/companies/honda_f1.ap/index.htm'
 'http://egmcartech.com/2008/12/05/honda-quits-f1-audi-pulls-out-of-american-le-mans/'
 'http://thestar.com/article/548927'
 'http://olympics.thestar.com/2008/article/548927'
 'http://usatoday.com/sports/motor/formula1/2008-12-05-honda_N.htm?csp=34'
 'http://heraldnet.com/article/20081205/SPORTS/712069998/-1/RSS01'
 'http://post-gazette.com/pg/08341/933112-132.stm?cmpid=autoracing.xml']",A,0.6848,['US' 'CA'],1
1730,27354,2009-10-24-023838,i went into jocelyn's room. i picked her up and put her over my shoulder.,jennifer ward,Multiple,2009-10-24 10:15:48,1,['http://salemnews.com/punews/local_story_296211126.html'],A,0.5867,['US'],1
650,65594,2009-09-26-041833,"the overwhelming number of terrorist acts are carried out by muslims, that many muslim-american groups have terrorist ties and that justification for acts of violence against `infidels' is found in the koran.",tony perkins,Multiple,2009-09-26 00:04:23,1,"['http://foxnews.com/story/0,2933,555801,00.html']",A,0.55,['US'],1
14272,131184,2017-08-17-091388,"My wife went to go wake Jack up, and she began screaming. I went running in there and his entire bed, his pillows his sheets, were covered in blood.",John Williams,Multiple,2017-08-17 03:09:09,1,['http://wspa.com/2017/08/16/deputys-son-diagnosed-with-leukemia-greenville-co-sheriffs-dept-raising-money/'],E,0.759,['US'],1
3091,130474,2010-09-30-084406,"the citizens of colbert county need a way to ask this hospital board questions as to what's going on, and what is the future going to hold with healthcare in our community in the shoals,",helen keller,Q1594974,2010-09-30 22:59:28,1,"['http://whnt.com/news/whnt-helen-keller-hospital-huntsville-hospital-management,0,7868274.story']",C,0.5197,['US'],1
1575,64598,2009-03-10-007549,"both abductions (of japanese nationals by north korean agents) and missile launches would be a breach of japanese sovereignty,",yasukazu hamada,Q1132836,2009-03-10 12:24:51,1,['http://breitbart.com/article.php?id=D96R5C380&show_article=1'],A,0.3597,['US'],1
2939,11152,2010-01-21-059258,"last year we had about a foot of snow the night before the race and had to postpone it for the following weekend,",john stevens,Multiple,2010-01-21 07:15:56,1,['http://seacoastonline.com/articles/20100121-SPORTS-1210369'],A,0.5688,['US'],1
8236,30164,2013-04-24-064918,"since the big companies came in and took over the seed supply, especially in cotton, we have had 270,000 farmer suicides, most of them driven by debt, and the debt caused by high-cost, non-renewable seeds,",dr. shiva,Q5304390,2013-04-24 06:00:00,1,['http://naturalnews.com/040053_world_hunger_GMOs_farmer_suicide.html'],C,0.5226,['US'],1
1942,34091,2009-08-19-011234,"effect of heavy infestations of polydora websteri hartman on cassostrae virginica (gmelin) in louisiana,",john g. mackin,Q22113278,2009-08-19 05:38:05,1,['http://lib.utexas.edu/taro/tamucush/00009/00009-P.html'],A,0.8097,['US'],1
19625,80295,2019-08-28-034046,"I think China will have open ears. After all, they kept on saying that we are friends and friends can always talk on anything. Moreover, I think it is time that they really talk about it since if the concern is maritime security and peace in the region, then they really have to talk because that is the cause of some irritants between the two countries, as well as other countries who have claims,",None,,2019-08-28 16:11:44,1,['https://businessmirror.com.ph/2019/08/29/duterte-set-to-raise-2016-arbitral-ruling-with-xi/'],E,0.6596,['RP'],1
15787,116002,2017-04-29-012396,Each [ militant part ] in its own way is trying to coordinate its efforts with members of the armed forces known to them who share this objective.,None,,2017-04-29 00:17:43,1,['http://nsarchive.gwu.edu/NSAEBB/NSAEBB587-Agustin-Edwards-left-legacy-of-collaboration-with-CIA-in-Chile-Coup/#new_tab'],E,0.9187,['US'],1
17555,83186,2018-05-15-038826,"I don't think America knows or cares to know the black victims of Kelly, except for Aaliyah. Which should have been enough.",Jim DeRogatis,Q723229,2018-05-15 19:21:00,1,['https://www.bostonglobe.com/opinion/2018/05/15/black-women-are-waiting-for-their-metoo-moment/BuZ8QJXP09k6ZNKIDgdTBJ/story.html'],E,0.8471,['US'],1
262,96445,2008-09-15-042752,"thanks to years of delayed investments in our transit system by the city and the state, we have an aging infrastructure and a staggering fiscal crisis,",richard ravitch,Q7328603,2008-09-15 20:27:09,1,['http://blog.tstc.org/2008/09/15/groups-warn-of-fare-hikes-service-cuts-and-fewer-transit-repairs-at-hearing-by-governor-patersons-commission-on-mta-financing'],A,0.6047,['US'],1
5203,25534,2011-08-19-038241,"it's a big expense for everyone in the posse. you have to have your own horse, your own weapon, transportation and of course take care of the horse which involves lot of expense,",alan murphy,Multiple,2011-08-19 23:54:52,1,['http://kezi.com/news/local/221608'],C,0.6787,['US'],1
8713,148673,2014-06-20-050848,"Most seafarers and fishermen enjoy good living and working conditions but there can be circumstances when crew are not paid, cannot access communications to speak to family and loved ones and even lack food, water and heating,",Martin Foley,Multiple,2014-06-20 13:42:11,1,['http://indcatholicnews.com/news.php?viewStory=24998'],E,0.9732,['UK'],1
4637,149531,2011-05-16-044510,"No weapon was shown,",None,,2011-05-16 09:08:25,7,"['http://salemnews.com/local/x2108374326/Robber-hits-Salem-bank-on-a-Sunday'
 'http://www.yumasun.com/news/st-bank-of-yuma-robbed/article_bdefdd6c-56e1-11e7-b042-bb23f19d261a.html'
 'http://www.yumasun.com/news/st-bank-yuma-robbed/article_bdefdd6c-56e1-11e7-b042-bb23f19d261a.html#comments'
 'http://www.athensnews.com/news/local/suspect-arrested-in-monday-morning-robbery-of-peoples-bank-in/article_c925122c-a7a1-11e7-8fd4-cb3e214075c6.html'
 'http://athensnews.com/news/local/alleged-bank-robbers-in-custody-in-separate-local-cases/article_cb043e3c-a923-11e7-8e6c-8fb72a0fd449.html#comments'
 'http://www.athensnews.com/news/local/nelsonville-bank-robber-gets-three-years/article_5870b80c-e350-11e7-8773-03a479f7b670.html'
 'https://www.boston.com/news/crime/2020/02/18/police-shot-and-killed-dracut-man-multiple-carjackings-what-to-know']",C,0.8099,['US'],1
14587,55974,2017-04-17-045857,It's clear that the president is determined not to allow this kind of capability to threaten the United States,Mike Pence,Q24313,2017-04-17 09:00:35,2,"['http://christiannewstoday.com/usa/us-vp-pence-arrives-near-dmz-after-failed-n-korea-missile/455875'
 'http://10thousandcouples.com/2017/04/usa-national-security-adviser-says-north-korea-missile-test/']",E,0.5531,['US'],1
15861,45625,2017-03-09-030827,"However, we see the European unity as priority, that is why we did not veto the decision on the sanctions,",None,,2017-03-09 14:24:30,1,['http://tass.com/world/934673'],E,0.5531,,1
15313,21644,2017-04-24-118883,to sink every illegal fishing vessel in the country.,Susi Pudjiastuti,Q17411488,2017-04-24 10:11:00,1,['http://www.intrafish.com/events/blogs/1245884/european-tuna-conference-blog-uncertainty-reigns-on-world-tuna-stocks'],E,0.8869,['US'],1
5333,119810,2011-08-18-085046,"we can't afford to stay at hotels. over here, ngos are giving us good food. we have unlimited water supply and the washrooms are much better than public toilets,",anand prakash,Multiple,2011-08-18 19:53:47,1,['http://hindustantimes.com/Anna-supporters-refuse-to-leave-sports-venue/H1-Article1-734867.aspx'],C,0.5563,['IN'],1
10137,27198,2014-08-09-033715,"Since Ebola has come up, the food in the market has been scarce. People in the streets are hungry and I have more customers because they are looking for food.",None,,2014-08-09 13:20:00,1,['http://feeds.theguardian.com/c/34708/f/663828/s/3d581eb8/sc/10/l/0L0Stheguardian0N0Csociety0C20A140Caug0C0A90Cliberia0Emonrovia0Eebola0Erumours0Ehygiene0Ehunger/story01.htm'],E,0.7682,['UK'],1
4125,18218,2011-06-29-061380,the assault probably lasted five seconds.,harry anderson,Multiple,2011-06-29 04:32:51,1,['http://komonews.com/news/local/124690579.html'],C,0.8592,['US'],1
16787,116624,2018-08-23-102578,"There does not appear to be any current concern for residents in the area,",None,,2018-08-23 22:15:00,5,"['http://www.philly.com/philly/news/crime/woman-36-found-strangled-in-her-main-line-apartment-20180823.html'
 'http://www.philly.com/r?19=961&43=188676&44=491582241&32=3796&7=195202&40=http://www.philly.com/philly/hp/news_top/woman-36-found-strangled-in-her-main-line-apartment-20180823.html'
 'http://www.independent.co.uk/news/playboy-model-christina-carlin-kraft-murdered-philadelphia-ardmore-pennsylvania-a8506676.html'
 'http://www.independent.co.uk/news/world/americas/christina-carlin-kraft-murder-playboy-model-dead-philadelphia-ardmore-pennsylvania-a8506676.html'
 'http://www.washingtontimes.com/news/2018/aug/25/christina-carlin-kraft-former-playboy-model-found-/']",E,0.8086,['US' 'UK'],1
18757,195941,2019-01-13-021361,"I would urge anyone who saw what took place near to the bridge or anyone who has any information about it, possibly through comments, pictures or videos, that they're aware of via social media channels, to get in touch with us urgently.",None,,2019-01-13 13:10:36,2,"['https://www.getsurrey.co.uk/news/surrey-news/police-hunt-teenagers-boy-stabbed-15671274'
 'https://www.getsurrey.co.uk/news/surrey-news/shocked-devastated-father-teen-stabbed-15671743']",E,0.9733,['UK'],1
7369,156333,2013-08-09-016217,healthy and vibrant wetlands ecosystem is vital to controlling storm surge and destructive salt water intrusion.,None,,2013-08-09 19:22:47,1,['http://www.nola.com/environment/index.ssf/2013/08/st_tammany_democrats_group_bac.html'],D,0.6373,['US'],1
6991,17021,2012-12-28-055321,"we've shot three times in rio,",steve mccurry,Q359815,2012-12-28 16:59:24,1,['http://huffingtonpost.com/summer-rayne-oakes/the-pirelli-calendars-sou_b_2237167.html?utm_hp_ref=entertainment'],C,0.7468,['US'],1
3473,38672,2010-12-01-076757,"the fire ceremony will start with traditional lighting of the fire with fire sticks,",jason carey,Q40083403,2010-12-01 16:00:00,1,['http://frasercoastchronicle.com.au/story/2010/12/02/special-annual-dingo-day-dayman-park/'],C,0.5307,['AS'],1
2997,34062,2010-12-02-109086,"when it comes to behavioral health care, the military has made significant progress. but the fact remains that too many of our troops return from service suffering from traumatic brain injuries or post-traumatic stress disorder and struggle to access the care they need.",mark udall,Q631195,2010-12-02 22:33:46,1,['http://blogs.denverpost.com/thespot/2010/12/02/sen-udall-pushes-more-robust-mental-health-care-plan-for-troops-veterans/19115/'],C,0.5322,['US'],1
8781,222640,2014-07-10-069338,"The chief investigating officer of that case is deceased,",Kenneth Davis,Multiple,2014-07-10 22:22:06,1,['http://ledger-enquirer.com/2014/07/10/3194100/da-evaluating-murder-charge-against.html?sp=/99/164/'],E,0.5738,['US'],1
10575,128738,2015-12-04-101452,"There was no communicating. We could not talk,",Justin Theroux,Q316596,2015-12-04 00:00:00,4,"['http://feeds.abcnews.com/Entertainment/justin-theorux-reveals-scary-honeymoon-moment-thought-die/story?id=35587055'
 'http://www.enstarz.com/articles/124727/20151205/justin-theroux-news-leftovers-actor-reveals-near-death-experience-video.htm'
 'http://feeds.people.com/~r/people/headlines/~3/wXC6XH5jekM/justin-theoux-almost-died-on-honeymoon'
 'http://www.delhidailynews.com/news/Justin-Theroux-almost-drowned-while-scuba-diving-on-his-honeymoon-1449332021/']",E,0.7126,['US'],1
18058,44626,2018-05-15-086970,"Palestinians want to return to land they fled in 1948, when the state of Israel was founded. And they are furious over what they say is American bias towards Israel,",None,,2018-05-15 05:07:04,1,['https://www.newsbusters.org/blogs/nb/nicholas-fondacaro/2018/05/15/cbs-palestinians-dancing-death-blame-israel-their-hardship'],E,0.8215,['US'],1
17162,106226,2018-01-30-125121,They are very dangerous going forward and they didn't manage to score against Swansea. That is a good warning for us that we have to produce an absolute total offensive performance.,None,,2018-01-30 07:09:56,1,['http://www.foxsportsasia.com/football/premier-league/788845/preview-swansea-unpredictable-arsenal/'],E,0.9202,,1
20770,31427,2020-01-09-095519,"To get this many people to come out and hear this message shows there is a commitment within the Jewish people to stand together and show up to fight antisemitism,",None,,2020-01-09 13:07:00,1,['https://www.jpost.com/Diaspora/Antisemitism/Elan-Carr-Antisemitism-is-global-problem-that-requires-global-solution-613657'],E,0.7845,['IS'],1
